,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
41282,31.0,female,High School,31903.0,10,OWN,13672.0,VENTURE,12.66,0.43,10.0,637.0,Yes,
23717,29.0,female,,39365.0,3,RENT,9250.0,HOMEIMPROVEMENT,15.65,0.23,7.0,625.0,No,1.0
39085,27.0,male,Bachelor,150854.0,6,MORTGAGE,15628.0,PERSONAL,9.18,0.1,4.0,633.0,No,0.0
37196,27.0,female,Bachelor,57474.0,6,RENT,5000.0,MEDICAL,10.36,0.09,7.0,,Yes,0.0
21819,29.0,female,Associate,61039.0,7,MORTGAGE,10000.0,MEDICAL,7.88,0.16,8.0,673.0,Yes,0.0
6654,23.0,female,Bachelor,66611.0,0,RENT,,VENTURE,9.91,0.09,3.0,647.0,Yes,0.0
5395,24.0,female,Associate,55067.0,1,MORTGAGE,15000.0,VENTURE,13.06,0.27,3.0,555.0,No,0.0
21389,29.0,male,,58723.0,5,MORTGAGE,17375.0,PERSONAL,14.27,0.3,5.0,702.0,No,0.0
30228,36.0,female,Master,60879.0,18,MORTGAGE,10000.0,DEBTCONSOLIDATION,6.03,0.16,13.0,627.0,No,0.0
8636,25.0,male,Associate,72956.0,3,MORTGAGE,7000.0,HOMEIMPROVEMENT,9.63,0.1,2.0,665.0,Yes,
22282,34.0,female,,66183.0,13,MORTGAGE,10000.0,MEDICAL,7.29,0.15,7.0,641.0,Yes,0.0
21513,27.0,female,High School,58700.0,5,OWN,14000.0,VENTURE,11.01,0.24,8.0,592.0,Yes,0.0
11471,23.0,female,Associate,91064.0,1,MORTGAGE,14000.0,MEDICAL,10.65,0.15,3.0,674.0,Yes,0.0
10707,25.0,male,,85133.0,3,MORTGAGE,11300.0,DEBTCONSOLIDATION,14.65,0.13,2.0,486.0,Yes,0.0
16904,22.0,,High School,51403.0,0,RENT,6600.0,PERSONAL,16.89,0.13,3.0,632.0,No,1.0
